number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,3495.046994959116,2022-10-29 13:12:06.755746,2022-10-29 13:12:15.958852,0 days 00:00:09.203106,16,12,3495.046994959116,0.013756929493291594,COMPLETE
1,3569.260180336143,2022-10-29 13:12:16.087057,2022-10-29 13:12:25.816865,0 days 00:00:09.729808,15,11,3569.260180336143,0.011653331084832942,COMPLETE
2,3525.881276130131,2022-10-29 13:12:25.954775,2022-10-29 13:12:49.156424,0 days 00:00:23.201649,11,23,3525.881276130131,0.01007827565990104,COMPLETE
3,3386.2819111523527,2022-10-29 13:12:49.309454,2022-10-29 13:13:19.502863,0 days 00:00:30.193409,24,21,3386.2819111523527,0.012144132318733025,COMPLETE
4,3578.1286836415316,2022-10-29 13:13:19.622264,2022-10-29 13:13:24.067770,0 days 00:00:04.445506,14,5,3578.1286836415316,0.009714222342412102,COMPLETE
5,3576.1710370821875,2022-10-29 13:13:24.179099,2022-10-29 13:13:25.399732,0 days 00:00:01.220633,6,1,3576.1710370821875,0.011639357118547201,COMPLETE
6,3430.79704730718,2022-10-29 13:13:25.520430,2022-10-29 13:13:38.093782,0 days 00:00:12.573352,16,17,3430.79704730718,0.009470127591233703,COMPLETE
7,3519.5112994472574,2022-10-29 13:13:38.220672,2022-10-29 13:13:56.264887,0 days 00:00:18.044215,8,23,3519.5112994472574,0.00976162636994056,COMPLETE
8,3503.0523602368976,2022-10-29 13:13:56.396573,2022-10-29 13:14:22.356310,0 days 00:00:25.959737,14,24,3503.0523602368976,0.009926480644395745,COMPLETE
9,3689.2524972271613,2022-10-29 13:14:22.481300,2022-10-29 13:14:25.437269,0 days 00:00:02.955969,13,1,3689.2524972271613,0.009737254148056077,COMPLETE
10,3274.6614303902256,2022-10-29 13:14:25.550244,2022-10-29 13:14:50.086214,0 days 00:00:24.535970,24,17,3274.6614303902256,0.007523386579529909,COMPLETE
11,3427.9570168573955,2022-10-29 13:14:50.211346,2022-10-29 13:15:18.377878,0 days 00:00:28.166532,24,22,3427.9570168573955,0.013872525460286889,COMPLETE
12,3503.75526136685,2022-10-29 13:15:18.507850,2022-10-29 13:15:34.387360,0 days 00:00:15.879510,23,12,3503.75526136685,0.02193570205767284,COMPLETE
13,3295.9085501349145,2022-10-29 13:15:34.507415,2022-10-29 13:15:59.951090,0 days 00:00:25.443675,24,18,3295.9085501349145,0.007373455104326679,COMPLETE
14,3678.09786703562,2022-10-29 13:16:00.079279,2022-10-29 13:16:06.427202,0 days 00:00:06.347923,22,3,3678.09786703562,0.047974414537877826,COMPLETE
15,3354.473614087901,2022-10-29 13:16:06.556466,2022-10-29 13:16:26.437764,0 days 00:00:19.881298,22,15,3354.473614087901,0.009883166423521142,COMPLETE
16,3563.811413027569,2022-10-29 13:16:26.566724,2022-10-29 13:16:30.429588,0 days 00:00:03.862864,8,10,3563.811413027569,0.009754319083738375,COMPLETE
17,3344.7639709947734,2022-10-29 13:16:30.554208,2022-10-29 13:16:52.507954,0 days 00:00:21.953746,23,16,3344.7639709947734,0.0105315263141666,COMPLETE
18,8285.427171922287,2022-10-29 13:16:52.615229,2022-10-29 13:17:21.386970,0 days 00:00:28.771741,0,21,8285.427171922287,0.9832520393063023,COMPLETE
19,3295.936750415157,2022-10-29 13:17:21.524176,2022-10-29 13:17:44.506425,0 days 00:00:22.982249,19,20,3295.936750415157,0.008585786123468267,COMPLETE
