number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,2619.22447245872,2022-10-29 12:57:49.787270,2022-10-29 12:57:56.849019,0 days 00:00:07.061749,16,12,2619.22447245872,0.010868995695985937,COMPLETE
1,2634.9272267419965,2022-10-29 12:57:56.972823,2022-10-29 12:58:03.633686,0 days 00:00:06.660863,15,11,2634.9272267419965,0.012542326729311585,COMPLETE
2,2628.090486823179,2022-10-29 12:58:03.744556,2022-10-29 12:58:19.026413,0 days 00:00:15.281857,11,23,2628.090486823179,0.010298786046277866,COMPLETE
3,2579.4285325724913,2022-10-29 12:58:19.139948,2022-10-29 12:58:40.521338,0 days 00:00:21.381390,24,21,2579.4285325724913,0.027121910192761153,COMPLETE
4,2636.593501128933,2022-10-29 12:58:40.631791,2022-10-29 12:58:44.264291,0 days 00:00:03.632500,14,5,2636.593501128933,0.00976217344905336,COMPLETE
5,2595.404628969455,2022-10-29 12:58:44.375851,2022-10-29 12:58:45.307118,0 days 00:00:00.931267,6,1,2595.404628969455,0.07021532027382824,COMPLETE
6,2475.415742762659,2022-10-29 12:58:45.431612,2022-10-29 12:58:56.336885,0 days 00:00:10.905273,16,17,2475.415742762659,0.009374497887584625,COMPLETE
7,2618.027735935477,2022-10-29 12:58:56.449093,2022-10-29 12:59:10.094304,0 days 00:00:13.645211,8,23,2618.027735935477,0.009782914249684763,COMPLETE
8,2612.884551762848,2022-10-29 12:59:10.216259,2022-10-29 12:59:31.123131,0 days 00:00:20.906872,14,24,2612.884551762848,0.009822023225483128,COMPLETE
9,2705.1812008044344,2022-10-29 12:59:31.235497,2022-10-29 12:59:33.505400,0 days 00:00:02.269903,13,1,2705.1812008044344,0.010012766822795694,COMPLETE
10,2679.759653957004,2022-10-29 12:59:33.624782,2022-10-29 12:59:37.355633,0 days 00:00:03.730851,2,14,2679.759653957004,0.011051130727085814,COMPLETE
11,2543.203087161939,2022-10-29 12:59:37.488289,2022-10-29 12:59:59.029755,0 days 00:00:21.541466,24,22,2543.203087161939,0.011360819062184849,COMPLETE
12,2559.8734799046288,2022-10-29 12:59:59.148952,2022-10-29 13:00:11.848292,0 days 00:00:12.699340,22,14,2559.8734799046288,0.032993849455581564,COMPLETE
13,2426.8833442415407,2022-10-29 13:00:11.964483,2022-10-29 13:00:26.149794,0 days 00:00:14.185311,18,18,2426.8833442415407,0.009336002678478042,COMPLETE
14,2456.007476676481,2022-10-29 13:00:26.273667,2022-10-29 13:00:38.548858,0 days 00:00:12.275191,17,18,2456.007476676481,0.009389265750172512,COMPLETE
15,6459.741544545116,2022-10-29 13:00:38.658922,2022-10-29 13:00:58.256667,0 days 00:00:19.597745,0,24,6459.741544545116,0.9837333400537438,COMPLETE
16,2743.2444151974773,2022-10-29 13:00:58.369729,2022-10-29 13:01:03.903512,0 days 00:00:05.533783,21,2,2743.2444151974773,0.009859618683773568,COMPLETE
17,2641.1412410283656,2022-10-29 13:01:04.032180,2022-10-29 13:01:11.173516,0 days 00:00:07.141336,8,16,2641.1412410283656,0.019964980315899394,COMPLETE
18,2448.348526176369,2022-10-29 13:01:11.303394,2022-10-29 13:01:24.470098,0 days 00:00:13.166704,19,18,2448.348526176369,0.009404412352851109,COMPLETE
19,2474.297104437357,2022-10-29 13:01:24.603785,2022-10-29 13:01:46.270998,0 days 00:00:21.667213,19,22,2474.297104437357,0.009421034795058122,COMPLETE
