number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,4341.355115738232,2022-10-29 13:31:19.833161,2022-10-29 13:31:30.391443,0 days 00:00:10.558282,16,12,4341.355115738232,0.010070913700644921,COMPLETE
1,4366.323260340839,2022-10-29 13:31:30.514346,2022-10-29 13:31:41.270748,0 days 00:00:10.756402,15,11,4366.323260340839,0.011698901815674493,COMPLETE
2,4300.6102949070355,2022-10-29 13:31:41.388738,2022-10-29 13:32:05.311296,0 days 00:00:23.922558,11,23,4300.6102949070355,0.010490607279129332,COMPLETE
3,4225.266601573359,2022-10-29 13:32:05.428297,2022-10-29 13:32:39.199334,0 days 00:00:33.771037,24,21,4225.266601573359,0.05414331665176506,COMPLETE
4,4370.17257963299,2022-10-29 13:32:39.325707,2022-10-29 13:32:44.615573,0 days 00:00:05.289866,14,5,4370.17257963299,0.009732903142114183,COMPLETE
5,4418.331123724344,2022-10-29 13:32:44.734081,2022-10-29 13:32:46.003901,0 days 00:00:01.269820,6,1,4418.331123724344,0.009836372608418678,COMPLETE
6,4153.055679557876,2022-10-29 13:32:46.130715,2022-10-29 13:33:03.068551,0 days 00:00:16.937836,16,17,4153.055679557876,0.009592935276173595,COMPLETE
7,4271.650292401579,2022-10-29 13:33:03.190761,2022-10-29 13:33:25.609667,0 days 00:00:22.418906,8,23,4271.650292401579,0.009707387630208739,COMPLETE
8,4235.47563670183,2022-10-29 13:33:25.736197,2022-10-29 13:33:58.591276,0 days 00:00:32.855079,14,24,4235.47563670183,0.0099458349315875,COMPLETE
9,4521.275187799549,2022-10-29 13:33:58.718377,2022-10-29 13:34:02.278496,0 days 00:00:03.560119,13,1,4521.275187799549,0.0098318681395156,COMPLETE
10,4489.6863974438875,2022-10-29 13:34:02.406564,2022-10-29 13:34:05.254794,0 days 00:00:02.848230,2,14,4489.6863974438875,0.015722870769875347,COMPLETE
11,4231.397515890578,2022-10-29 13:34:05.375097,2022-10-29 13:34:41.140514,0 days 00:00:35.765417,24,22,4231.397515890578,0.041729325920093915,COMPLETE
12,4009.8641274708953,2022-10-29 13:34:41.276631,2022-10-29 13:35:09.279104,0 days 00:00:28.002473,24,16,4009.8641274708953,0.009948035840040002,COMPLETE
13,4262.158337532572,2022-10-29 13:35:09.424805,2022-10-29 13:35:28.245535,0 days 00:00:18.820730,23,12,4262.158337532572,0.022125521254874894,COMPLETE
14,4024.970037312139,2022-10-29 13:35:28.375537,2022-10-29 13:35:52.733396,0 days 00:00:24.357859,17,18,4024.970037312139,0.009545671812619342,COMPLETE
15,8757.308897093846,2022-10-29 13:35:52.934852,2022-10-29 13:36:38.919298,0 days 00:00:45.984446,0,24,8757.308897093846,0.9829524427535963,COMPLETE
16,4504.548636340749,2022-10-29 13:36:39.058729,2022-10-29 13:36:49.710172,0 days 00:00:10.651443,21,2,4504.548636340749,0.009738360551030273,COMPLETE
17,4042.4668131912604,2022-10-29 13:36:49.861601,2022-10-29 13:37:22.679431,0 days 00:00:32.817830,23,16,4042.4668131912604,0.010276100292139038,COMPLETE
18,4058.181122221837,2022-10-29 13:37:22.805425,2022-10-29 13:37:44.287140,0 days 00:00:21.481715,19,18,4058.181122221837,0.009476401672428641,COMPLETE
19,4284.44187338572,2022-10-29 13:37:44.409459,2022-10-29 13:37:55.939479,0 days 00:00:11.530020,10,17,4284.44187338572,0.011016032403106626,COMPLETE
