number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,2936.2550977590686,2022-10-29 13:02:18.505230,2022-10-29 13:02:26.435101,0 days 00:00:07.929871,16,12,2936.2550977590686,0.010240279249664816,COMPLETE
1,2936.3583612168222,2022-10-29 13:02:26.555069,2022-10-29 13:02:34.021835,0 days 00:00:07.466766,15,11,2936.3583612168222,0.011736639187354425,COMPLETE
2,2912.096589333227,2022-10-29 13:02:34.142039,2022-10-29 13:02:51.111446,0 days 00:00:16.969407,11,23,2912.096589333227,0.009889718572015257,COMPLETE
3,2858.4840411985624,2022-10-29 13:02:51.229460,2022-10-29 13:03:13.082256,0 days 00:00:21.852796,24,21,2858.4840411985624,0.019465710454577637,COMPLETE
4,3013.561569715959,2022-10-29 13:03:13.207614,2022-10-29 13:03:18.396632,0 days 00:00:05.189018,14,5,3013.561569715959,0.11857916670368304,COMPLETE
5,2918.8038699200206,2022-10-29 13:03:18.523959,2022-10-29 13:03:19.423816,0 days 00:00:00.899857,6,1,2918.8038699200206,0.009985290402067743,COMPLETE
6,2784.035284462856,2022-10-29 13:03:19.542814,2022-10-29 13:03:31.167172,0 days 00:00:11.624358,16,17,2784.035284462856,0.009312167474484883,COMPLETE
7,2912.9325047788034,2022-10-29 13:03:31.287020,2022-10-29 13:03:47.754288,0 days 00:00:16.467268,8,23,2912.9325047788034,0.009785028849063895,COMPLETE
8,2910.378606815585,2022-10-29 13:03:47.871768,2022-10-29 13:04:10.825847,0 days 00:00:22.954079,14,24,2910.378606815585,0.010054318188892932,COMPLETE
9,3023.5977853812537,2022-10-29 13:04:10.946099,2022-10-29 13:04:13.622736,0 days 00:00:02.676637,13,1,3023.5977853812537,0.010013572026015225,COMPLETE
10,3012.5648667509477,2022-10-29 13:04:13.749432,2022-10-29 13:04:15.603462,0 days 00:00:01.854030,2,14,3012.5648667509477,0.016107178864277177,COMPLETE
11,2821.8824274252547,2022-10-29 13:04:15.724681,2022-10-29 13:04:39.778998,0 days 00:00:24.054317,24,22,2821.8824274252547,0.011465596073746007,COMPLETE
12,2855.3408107666655,2022-10-29 13:04:39.904776,2022-10-29 13:04:53.965981,0 days 00:00:14.061205,22,14,2855.3408107666655,0.039688577115135244,COMPLETE
13,2746.1779534039824,2022-10-29 13:04:54.092927,2022-10-29 13:05:09.154118,0 days 00:00:15.061191,18,18,2746.1779534039824,0.00952230946040037,COMPLETE
14,2736.756604335784,2022-10-29 13:05:09.280037,2022-10-29 13:05:24.457095,0 days 00:00:15.177058,17,18,2736.756604335784,0.009482736244346056,COMPLETE
15,11031.879550319609,2022-10-29 13:05:24.580939,2022-10-29 13:05:33.901022,0 days 00:00:09.320083,0,24,11031.879550319609,0.9859414831846096,COMPLETE
16,3053.7315446389707,2022-10-29 13:05:34.027562,2022-10-29 13:05:38.853237,0 days 00:00:04.825675,21,2,3053.7315446389707,0.028248283447375105,COMPLETE
17,2957.827836168538,2022-10-29 13:05:38.987716,2022-10-29 13:05:46.212310,0 days 00:00:07.224594,8,16,2957.827836168538,0.024002559186473076,COMPLETE
18,2745.2072992965204,2022-10-29 13:05:46.332116,2022-10-29 13:06:01.106010,0 days 00:00:14.773894,19,18,2745.2072992965204,0.009440384801259864,COMPLETE
19,2737.237494758226,2022-10-29 13:06:01.227902,2022-10-29 13:06:17.585039,0 days 00:00:16.357137,17,20,2737.237494758226,0.008985161385135717,COMPLETE
