number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,2336.5380615552044,2022-10-29 12:54:35.605067,2022-10-29 12:54:46.897953,0 days 00:00:11.292886,16,12,2336.5380615552044,0.010670126945767508,COMPLETE
1,2345.396052118227,2022-10-29 12:54:47.031361,2022-10-29 12:54:55.117899,0 days 00:00:08.086538,15,11,2345.396052118227,0.012402008403746442,COMPLETE
2,2348.737487115519,2022-10-29 12:54:55.249392,2022-10-29 12:55:10.370766,0 days 00:00:15.121374,11,23,2348.737487115519,0.010303001191866975,COMPLETE
3,2316.346642648689,2022-10-29 12:55:10.477937,2022-10-29 12:55:28.493008,0 days 00:00:18.015071,24,21,2316.346642648689,0.0395076352161132,COMPLETE
4,2365.2829276117573,2022-10-29 12:55:28.608556,2022-10-29 12:55:32.450976,0 days 00:00:03.842420,14,5,2365.2829276117573,0.013343661857985058,COMPLETE
5,2287.169252805289,2022-10-29 12:55:32.555855,2022-10-29 12:55:33.580759,0 days 00:00:01.024904,6,1,2287.169252805289,0.03496739374340821,COMPLETE
6,2223.7346078417177,2022-10-29 12:55:33.695572,2022-10-29 12:55:44.322287,0 days 00:00:10.626715,16,17,2223.7346078417177,0.009346883796996667,COMPLETE
7,2344.7028303359434,2022-10-29 12:55:44.442124,2022-10-29 12:55:57.094998,0 days 00:00:12.652874,8,23,2344.7028303359434,0.009746446080053253,COMPLETE
8,2334.0998648953055,2022-10-29 12:55:57.211804,2022-10-29 12:56:17.280244,0 days 00:00:20.068440,14,24,2334.0998648953055,0.00968817808192681,COMPLETE
9,2403.7313575316234,2022-10-29 12:56:17.403171,2022-10-29 12:56:19.610463,0 days 00:00:02.207292,13,1,2403.7313575316234,0.00998074166951077,COMPLETE
10,2395.090510775999,2022-10-29 12:56:19.733603,2022-10-29 12:56:23.063921,0 days 00:00:03.330318,2,14,2395.090510775999,0.013013865850961755,COMPLETE
11,2256.5548516659746,2022-10-29 12:56:23.190609,2022-10-29 12:56:23.867474,0 days 00:00:00.676865,4,1,2256.5548516659746,0.035749983237963315,COMPLETE
12,2272.592802790522,2022-10-29 12:56:23.983365,2022-10-29 12:56:24.421737,0 days 00:00:00.438372,1,4,2272.592802790522,0.009949584929507376,COMPLETE
13,2331.4225436333627,2022-10-29 12:56:24.553322,2022-10-29 12:56:27.174806,0 days 00:00:02.621484,7,10,2331.4225436333627,0.009760651576649699,COMPLETE
14,2313.5318225315314,2022-10-29 12:56:27.302382,2022-10-29 12:56:38.643356,0 days 00:00:11.340974,22,12,2313.5318225315314,0.0167166832824827,COMPLETE
15,7009.741973869502,2022-10-29 12:56:38.767488,2022-10-29 12:56:55.405515,0 days 00:00:16.638027,0,24,7009.741973869502,0.9911987132833057,COMPLETE
16,2409.199747289276,2022-10-29 12:56:55.521263,2022-10-29 12:56:59.620702,0 days 00:00:04.099439,21,2,2409.199747289276,0.01434209471882323,COMPLETE
17,10907.600207629916,2022-10-29 12:56:59.743164,2022-10-29 12:56:59.795815,0 days 00:00:00.052651,0,0,10907.600207629916,1.0,COMPLETE
18,2146.6550804260823,2022-10-29 12:56:59.909685,2022-10-29 12:57:09.993135,0 days 00:00:10.083450,17,17,2146.6550804260823,0.009624327696161719,COMPLETE
19,2202.9810520004557,2022-10-29 12:57:10.113619,2022-10-29 12:57:22.585853,0 days 00:00:12.472234,18,19,2202.9810520004557,0.009436507539809397,COMPLETE
