number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,4107.143846662291,2022-10-29 13:24:50.654541,2022-10-29 13:25:00.565741,0 days 00:00:09.911200,16,12,4107.143846662291,0.009738428778039007,COMPLETE
1,4123.970162548959,2022-10-29 13:25:00.684454,2022-10-29 13:25:10.753418,0 days 00:00:10.068964,15,11,4123.970162548959,0.012209577388089239,COMPLETE
2,4049.3027060370723,2022-10-29 13:25:10.859917,2022-10-29 13:25:34.093978,0 days 00:00:23.234061,11,23,4049.3027060370723,0.010237321789488673,COMPLETE
3,3894.1172836322517,2022-10-29 13:25:34.222537,2022-10-29 13:26:07.220556,0 days 00:00:32.998019,24,21,3894.1172836322517,0.060677288401782,COMPLETE
4,4118.25926601147,2022-10-29 13:26:07.336643,2022-10-29 13:26:12.917489,0 days 00:00:05.580846,14,5,4118.25926601147,0.009754094381939103,COMPLETE
5,4143.252152904384,2022-10-29 13:26:13.032655,2022-10-29 13:26:14.487957,0 days 00:00:01.455302,6,1,4143.252152904384,0.013323188339258189,COMPLETE
6,3917.2986012036185,2022-10-29 13:26:14.604919,2022-10-29 13:26:29.948275,0 days 00:00:15.343356,16,17,3917.2986012036185,0.00947605216616305,COMPLETE
7,4031.2041553940467,2022-10-29 13:26:30.063847,2022-10-29 13:26:51.429634,0 days 00:00:21.365787,8,23,4031.2041553940467,0.009762622959462699,COMPLETE
8,3992.1807755254467,2022-10-29 13:26:51.543462,2022-10-29 13:27:24.518239,0 days 00:00:32.974777,14,24,3992.1807755254467,0.009834765641969294,COMPLETE
9,4258.083071766703,2022-10-29 13:27:24.629120,2022-10-29 13:27:27.953243,0 days 00:00:03.324123,13,1,4258.083071766703,0.009847536971754637,COMPLETE
10,3732.8281528724506,2022-10-29 13:27:28.072220,2022-10-29 13:27:55.682991,0 days 00:00:27.610771,24,17,3732.8281528724506,0.007641102116181789,COMPLETE
11,3859.8684968972675,2022-10-29 13:27:55.793437,2022-10-29 13:28:28.612710,0 days 00:00:32.819273,24,22,3859.8684968972675,0.062494383101317205,COMPLETE
12,3930.9511764728195,2022-10-29 13:28:28.735004,2022-10-29 13:28:48.645962,0 days 00:00:19.910958,24,14,3930.9511764728195,0.023873938849899985,COMPLETE
13,3921.972785094039,2022-10-29 13:28:48.780182,2022-10-29 13:29:26.902077,0 days 00:00:38.121895,23,24,3921.972785094039,0.014823769442629567,COMPLETE
14,4236.651354582324,2022-10-29 13:29:27.028973,2022-10-29 13:29:33.944904,0 days 00:00:06.915931,22,3,4236.651354582324,0.026535435640396038,COMPLETE
15,17059.800100140917,2022-10-29 13:29:34.066466,2022-10-29 13:29:49.790426,0 days 00:00:15.723960,0,24,17059.800100140917,1.1523704596065365,COMPLETE
16,3828.0602848394124,2022-10-29 13:29:49.920687,2022-10-29 13:30:08.889794,0 days 00:00:18.969107,20,16,3828.0602848394124,0.01023239629561282,COMPLETE
17,4084.3605227301446,2022-10-29 13:30:09.020878,2022-10-29 13:30:11.433100,0 days 00:00:02.412222,3,8,4084.3605227301446,0.00965358310014187,COMPLETE
18,3887.384524038065,2022-10-29 13:30:11.559813,2022-10-29 13:30:25.711798,0 days 00:00:14.151985,20,14,3887.384524038065,0.022152120659081957,COMPLETE
19,4234.844848871694,2022-10-29 13:30:25.836108,2022-10-29 13:30:29.120606,0 days 00:00:03.284498,1,15,4234.844848871694,0.012538950435987477,COMPLETE
