number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.003568705410688433,2022-10-29 12:49:37.856943,2022-10-29 12:49:38.788770,0 days 00:00:00.931827,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.003568705410688433,COMPLETE
1,0.0035596353084873787,2022-10-29 12:49:38.913543,2022-10-29 12:49:39.645941,0 days 00:00:00.732398,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0035596353084873787,COMPLETE
2,0.0035833917697973674,2022-10-29 12:49:39.759193,2022-10-29 12:49:40.664447,0 days 00:00:00.905254,0.45429714644795216,0.5932954739071198,3.658201619571844,0.0035833917697973674,COMPLETE
3,0.0035603383653802093,2022-10-29 12:49:40.796744,2022-10-29 12:49:41.567689,0 days 00:00:00.770945,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0035603383653802093,COMPLETE
4,0.0035689060158685306,2022-10-29 12:49:41.678999,2022-10-29 12:49:42.502457,0 days 00:00:00.823458,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0035689060158685306,COMPLETE
5,0.003578901151178817,2022-10-29 12:49:42.621185,2022-10-29 12:49:43.487899,0 days 00:00:00.866714,0.372294203306687,9.627612801528926,0.611550441408745,0.003578901151178817,COMPLETE
6,0.0035624474311154453,2022-10-29 12:49:43.603748,2022-10-29 12:49:44.340677,0 days 00:00:00.736929,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0035624474311154453,COMPLETE
7,0.0035604504583119593,2022-10-29 12:49:44.472391,2022-10-29 12:49:45.238598,0 days 00:00:00.766207,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.0035604504583119593,COMPLETE
8,0.0035634888474148137,2022-10-29 12:49:45.382422,2022-10-29 12:49:46.166060,0 days 00:00:00.783638,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0035634888474148137,COMPLETE
9,0.0035719011936766847,2022-10-29 12:49:46.286629,2022-10-29 12:49:47.116406,0 days 00:00:00.829777,0.078900888474408,0.051289727440792465,0.015844905541799393,0.0035719011936766847,COMPLETE
10,0.0035605753990196544,2022-10-29 12:49:47.241874,2022-10-29 12:49:48.031353,0 days 00:00:00.789479,0.004266003806252271,5.258293106364389,1.6339911177163329,0.0035605753990196544,COMPLETE
11,0.0035604337608271456,2022-10-29 12:49:48.145544,2022-10-29 12:49:48.908187,0 days 00:00:00.762643,0.001693050126534189,0.12671926726791047,0.019365005973780453,0.0035604337608271456,COMPLETE
12,0.0035614371638390176,2022-10-29 12:49:49.038844,2022-10-29 12:49:49.791462,0 days 00:00:00.752618,0.002419706132123166,0.010977878155142489,0.04802477871126775,0.0035614371638390176,COMPLETE
13,0.003574250286276577,2022-10-29 12:49:49.910406,2022-10-29 12:49:50.735848,0 days 00:00:00.825442,0.21879115432092885,6.933396058741033,0.0203824774659627,0.003574250286276577,COMPLETE
14,0.0035606792173936454,2022-10-29 12:49:50.851049,2022-10-29 12:49:51.624356,0 days 00:00:00.773307,0.004324509963369195,0.015228353955161028,0.863676330783747,0.0035606792173936454,COMPLETE
15,0.0035591842495364956,2022-10-29 12:49:51.737016,2022-10-29 12:49:52.528431,0 days 00:00:00.791415,0.013607373046491735,5.267476474966837,0.05801090161133386,0.0035591842495364956,COMPLETE
16,0.003558894943176037,2022-10-29 12:49:52.655915,2022-10-29 12:49:53.407607,0 days 00:00:00.751692,0.014619648063215387,8.408039741031441,0.013676769056295343,0.003558894943176037,COMPLETE
17,0.0035595163612209242,2022-10-29 12:49:53.519196,2022-10-29 12:49:54.273707,0 days 00:00:00.754511,0.01164688993846036,4.229819334699938,0.014859937735705497,0.0035595163612209242,COMPLETE
18,0.00356135811243568,2022-10-29 12:49:54.382658,2022-10-29 12:49:55.208332,0 days 00:00:00.825674,0.004992448497135232,0.9625143404439421,0.03515289046514812,0.00356135811243568,COMPLETE
19,0.003560392020576617,2022-10-29 12:49:55.352703,2022-10-29 12:49:56.127926,0 days 00:00:00.775223,0.003785383702648501,7.6644594348674815,0.04508487443372515,0.003560392020576617,COMPLETE
