number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.0035568549249726813,2022-10-29 12:50:07.794481,2022-10-29 12:50:08.657119,0 days 00:00:00.862638,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.0035568549249726813,COMPLETE
1,0.0035588836028690794,2022-10-29 12:50:08.773275,2022-10-29 12:50:09.525075,0 days 00:00:00.751800,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0035588836028690794,COMPLETE
2,0.0035544020021944286,2022-10-29 12:50:09.648930,2022-10-29 12:50:10.460923,0 days 00:00:00.811993,0.45429714644795216,0.5932954739071198,3.658201619571844,0.0035544020021944286,COMPLETE
3,0.0035595314900580656,2022-10-29 12:50:10.596588,2022-10-29 12:50:11.373327,0 days 00:00:00.776739,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0035595314900580656,COMPLETE
4,0.0035564885924519517,2022-10-29 12:50:11.495391,2022-10-29 12:50:12.267561,0 days 00:00:00.772170,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0035564885924519517,COMPLETE
5,0.003555122240996174,2022-10-29 12:50:12.392198,2022-10-29 12:50:13.201306,0 days 00:00:00.809108,0.372294203306687,9.627612801528926,0.611550441408745,0.003555122240996174,COMPLETE
6,0.00355890981665414,2022-10-29 12:50:13.326208,2022-10-29 12:50:14.097911,0 days 00:00:00.771703,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.00355890981665414,COMPLETE
7,0.003560142081754864,2022-10-29 12:50:14.212019,2022-10-29 12:50:14.970483,0 days 00:00:00.758464,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.003560142081754864,COMPLETE
8,0.0035591180904850006,2022-10-29 12:50:15.096138,2022-10-29 12:50:15.859172,0 days 00:00:00.763034,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0035591180904850006,COMPLETE
9,0.003554823017819749,2022-10-29 12:50:15.975224,2022-10-29 12:50:16.778965,0 days 00:00:00.803741,0.078900888474408,0.051289727440792465,0.015844905541799393,0.003554823017819749,COMPLETE
10,0.0035577034247206616,2022-10-29 12:50:16.895118,2022-10-29 12:50:17.659760,0 days 00:00:00.764642,0.030025252814276815,2.271708081121698,4.991415868115371,0.0035577034247206616,COMPLETE
11,0.0035525451271385825,2022-10-29 12:50:17.786429,2022-10-29 12:50:18.615748,0 days 00:00:00.829319,0.1994863132739326,0.09125495449814502,0.01852017899536248,0.0035525451271385825,COMPLETE
12,0.0035539927790656867,2022-10-29 12:50:18.728380,2022-10-29 12:50:19.566384,0 days 00:00:00.838004,0.40580501666046753,0.5338152624515612,1.3651999626561386,0.0035539927790656867,COMPLETE
13,0.0035590588952040627,2022-10-29 12:50:19.704994,2022-10-29 12:50:20.471128,0 days 00:00:00.766134,0.30195443826219953,0.06645775319363717,0.22669345313889908,0.0035590588952040627,COMPLETE
14,0.003552535985134755,2022-10-29 12:50:20.589070,2022-10-29 12:50:21.398033,0 days 00:00:00.808963,0.48393437010058593,0.10461200129889586,0.05017089658678167,0.003552535985134755,COMPLETE
15,0.003554889357397655,2022-10-29 12:50:21.519365,2022-10-29 12:50:22.300271,0 days 00:00:00.780906,0.4159496316152971,0.06964099688757872,0.017715261986715282,0.003554889357397655,COMPLETE
16,0.0035527570982161246,2022-10-29 12:50:22.428625,2022-10-29 12:50:23.281987,0 days 00:00:00.853362,0.21656753189617117,0.4728501741997387,0.09087577451970148,0.0035527570982161246,COMPLETE
17,0.003557330471345546,2022-10-29 12:50:23.398139,2022-10-29 12:50:24.138661,0 days 00:00:00.740522,0.0011876193830264365,0.027819822307768406,1.7653792182434602,0.003557330471345546,COMPLETE
18,0.003554151768832782,2022-10-29 12:50:24.254101,2022-10-29 12:50:25.178448,0 days 00:00:00.924347,0.4947609638097159,5.345619977989825,0.05198220788001645,0.003554151768832782,COMPLETE
19,0.003551658273623103,2022-10-29 12:50:25.301830,2022-10-29 12:50:26.130125,0 days 00:00:00.828295,0.1397807594380368,0.010129035799174341,0.1504219852108692,0.003551658273623103,COMPLETE
