number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.00366936313594318,2022-10-29 12:51:08.574979,2022-10-29 12:51:09.479803,0 days 00:00:00.904824,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.00366936313594318,COMPLETE
1,0.003654468006624922,2022-10-29 12:51:09.606964,2022-10-29 12:51:10.365900,0 days 00:00:00.758936,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.003654468006624922,COMPLETE
2,0.0036950220898813823,2022-10-29 12:51:10.485481,2022-10-29 12:51:11.356059,0 days 00:00:00.870578,0.45429714644795216,0.5932954739071198,3.658201619571844,0.0036950220898813823,COMPLETE
3,0.003653064964522916,2022-10-29 12:51:11.475798,2022-10-29 12:51:12.331972,0 days 00:00:00.856174,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.003653064964522916,COMPLETE
4,0.003662459812261138,2022-10-29 12:51:12.465491,2022-10-29 12:51:13.297939,0 days 00:00:00.832448,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.003662459812261138,COMPLETE
5,0.003712753833440515,2022-10-29 12:51:13.426950,2022-10-29 12:51:14.209002,0 days 00:00:00.782052,0.372294203306687,9.627612801528926,0.611550441408745,0.003712753833440515,COMPLETE
6,0.0036561157318110485,2022-10-29 12:51:14.351019,2022-10-29 12:51:15.128372,0 days 00:00:00.777353,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0036561157318110485,COMPLETE
7,0.003653393248970526,2022-10-29 12:51:15.252063,2022-10-29 12:51:16.085077,0 days 00:00:00.833014,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.003653393248970526,COMPLETE
8,0.0036546468130292855,2022-10-29 12:51:16.214799,2022-10-29 12:51:17.068961,0 days 00:00:00.854162,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0036546468130292855,COMPLETE
9,0.003670947958427118,2022-10-29 12:51:17.191129,2022-10-29 12:51:18.035887,0 days 00:00:00.844758,0.078900888474408,0.051289727440792465,0.015844905541799393,0.003670947958427118,COMPLETE
10,0.003652342225134944,2022-10-29 12:51:18.153779,2022-10-29 12:51:19.007045,0 days 00:00:00.853266,0.0013345174086330498,0.025767448367600445,0.04344125564368941,0.003652342225134944,COMPLETE
11,0.0036544369264943154,2022-10-29 12:51:19.129223,2022-10-29 12:51:19.963032,0 days 00:00:00.833809,0.0013650436573648514,0.17479354799118496,0.01728788371155663,0.0036544369264943154,COMPLETE
12,0.0036531031819925395,2022-10-29 12:51:20.076888,2022-10-29 12:51:20.935080,0 days 00:00:00.858192,0.0017415800734199816,0.011287362752017051,0.03935197967433603,0.0036531031819925395,COMPLETE
13,0.003652804037290902,2022-10-29 12:51:21.060545,2022-10-29 12:51:21.962531,0 days 00:00:00.901986,0.00825011926899761,0.025881047336536633,0.1676862664465814,0.003652804037290902,COMPLETE
14,0.003654549316821778,2022-10-29 12:51:22.087101,2022-10-29 12:51:23.009540,0 days 00:00:00.922439,0.007681266445148268,0.01696409010430852,1.9797629919947897,0.003654549316821778,COMPLETE
15,0.00365222630189325,2022-10-29 12:51:23.139500,2022-10-29 12:51:24.038625,0 days 00:00:00.899125,0.009401272747611407,0.08438401903367226,0.1818727404069916,0.00365222630189325,COMPLETE
16,0.0036529300884525495,2022-10-29 12:51:24.151371,2022-10-29 12:51:25.004211,0 days 00:00:00.852840,0.0025179223822783437,0.5981742573927358,6.723080776659799,0.0036529300884525495,COMPLETE
17,0.0036977787869104752,2022-10-29 12:51:25.119490,2022-10-29 12:51:25.985975,0 days 00:00:00.866485,0.4587772764401488,0.09186279851103742,0.17125528698297937,0.0036977787869104752,COMPLETE
18,0.0036546770849933065,2022-10-29 12:51:26.111585,2022-10-29 12:51:26.968264,0 days 00:00:00.856679,0.001995765435262274,0.1186031224536168,0.7851588951287367,0.0036546770849933065,COMPLETE
19,0.0036535800980257676,2022-10-29 12:51:27.086045,2022-10-29 12:51:27.941234,0 days 00:00:00.855189,0.003126064160702155,3.5069377799624983,0.0352054282903523,0.0036535800980257676,COMPLETE
