number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.0037899781606220823,2022-10-29 12:48:05.879256,2022-10-29 12:48:07.115995,0 days 00:00:01.236739,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.0037899781606220823,COMPLETE
1,0.0036428744230463,2022-10-29 12:48:07.255182,2022-10-29 12:48:08.220392,0 days 00:00:00.965210,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0036428744230463,COMPLETE
2,0.0039240803402778275,2022-10-29 12:48:08.361019,2022-10-29 12:48:09.317119,0 days 00:00:00.956100,0.45429714644795216,0.5932954739071198,3.658201619571844,0.0039240803402778275,COMPLETE
3,0.0036186783234456806,2022-10-29 12:48:09.457726,2022-10-29 12:48:10.457849,0 days 00:00:01.000123,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0036186783234456806,COMPLETE
4,0.0037599876977521115,2022-10-29 12:48:10.582847,2022-10-29 12:48:11.622156,0 days 00:00:01.039309,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0037599876977521115,COMPLETE
5,0.003881266669040116,2022-10-29 12:48:11.778394,2022-10-29 12:48:12.745458,0 days 00:00:00.967064,0.372294203306687,9.627612801528926,0.611550441408745,0.003881266669040116,COMPLETE
6,0.0036848525193272337,2022-10-29 12:48:12.882026,2022-10-29 12:48:13.652452,0 days 00:00:00.770426,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0036848525193272337,COMPLETE
7,0.0036181860861763926,2022-10-29 12:48:13.780312,2022-10-29 12:48:14.706200,0 days 00:00:00.925888,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.0036181860861763926,COMPLETE
8,0.0036781653059246365,2022-10-29 12:48:14.850418,2022-10-29 12:48:15.629953,0 days 00:00:00.779535,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0036781653059246365,COMPLETE
9,0.0037651171036879785,2022-10-29 12:48:15.758795,2022-10-29 12:48:16.555811,0 days 00:00:00.797016,0.078900888474408,0.051289727440792465,0.015844905541799393,0.0037651171036879785,COMPLETE
10,0.003618300572987498,2022-10-29 12:48:16.799145,2022-10-29 12:48:17.553328,0 days 00:00:00.754183,0.0020126181895076404,0.2941583308217288,0.6220674403166451,0.003618300572987498,COMPLETE
11,0.003619092485115474,2022-10-29 12:48:17.691562,2022-10-29 12:48:18.431104,0 days 00:00:00.739542,0.001179334618947874,0.414267356984232,0.40741328965706064,0.003619092485115474,COMPLETE
12,0.0036179128203409996,2022-10-29 12:48:18.553686,2022-10-29 12:48:19.341426,0 days 00:00:00.787740,0.0043480531776275266,1.294418628280235,3.7729390174665314,0.0036179128203409996,COMPLETE
13,0.003628186839978156,2022-10-29 12:48:19.461462,2022-10-29 12:48:20.272846,0 days 00:00:00.811384,0.01142431468500273,0.9807639817396159,3.6521271585219046,0.003628186839978156,COMPLETE
14,0.0036179103929811903,2022-10-29 12:48:20.402532,2022-10-29 12:48:21.157895,0 days 00:00:00.755363,0.001393590183561834,1.28618456170516,4.630055069906384,0.0036179103929811903,COMPLETE
15,0.003617944033003777,2022-10-29 12:48:21.287319,2022-10-29 12:48:22.037653,0 days 00:00:00.750334,0.006045997461603383,6.99318382192608,8.830112004750733,0.003617944033003777,COMPLETE
16,0.003618126792906779,2022-10-29 12:48:22.159091,2022-10-29 12:48:22.915407,0 days 00:00:00.756316,0.0018874091272145762,0.08914079346106292,6.59981817791116,0.003618126792906779,COMPLETE
17,0.003618196831888821,2022-10-29 12:48:23.038616,2022-10-29 12:48:23.795592,0 days 00:00:00.756976,0.0018352556800798941,4.3800613328125175,2.281761387600633,0.003618196831888821,COMPLETE
18,0.0036178532125999844,2022-10-29 12:48:23.928971,2022-10-29 12:48:24.751636,0 days 00:00:00.822665,0.00597979631236182,0.9889716683625999,9.506844785453833,0.0036178532125999844,COMPLETE
19,0.0038593600467370383,2022-10-29 12:48:24.886760,2022-10-29 12:48:25.759874,0 days 00:00:00.873114,0.4660348313906327,0.015350637529244416,0.7257325455134667,0.0038593600467370383,COMPLETE
