number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.0037210873266762864,2022-10-29 12:49:07.919877,2022-10-29 12:49:08.822212,0 days 00:00:00.902335,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.0037210873266762864,COMPLETE
1,0.0036493523306239672,2022-10-29 12:49:08.985019,2022-10-29 12:49:09.725679,0 days 00:00:00.740660,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0036493523306239672,COMPLETE
2,0.003855277552368317,2022-10-29 12:49:09.860635,2022-10-29 12:49:10.715114,0 days 00:00:00.854479,0.45429714644795216,0.5932954739071198,3.658201619571844,0.003855277552368317,COMPLETE
3,0.003574753477880885,2022-10-29 12:49:10.842078,2022-10-29 12:49:11.633825,0 days 00:00:00.791747,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.003574753477880885,COMPLETE
4,0.003716531951706836,2022-10-29 12:49:11.757668,2022-10-29 12:49:12.568421,0 days 00:00:00.810753,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.003716531951706836,COMPLETE
5,0.0037807052806947974,2022-10-29 12:49:12.699489,2022-10-29 12:49:13.590484,0 days 00:00:00.890995,0.372294203306687,9.627612801528926,0.611550441408745,0.0037807052806947974,COMPLETE
6,0.0036657427697674915,2022-10-29 12:49:13.704711,2022-10-29 12:49:14.501098,0 days 00:00:00.796387,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0036657427697674915,COMPLETE
7,0.003574951092508968,2022-10-29 12:49:14.615102,2022-10-29 12:49:15.434511,0 days 00:00:00.819409,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.003574951092508968,COMPLETE
8,0.0036622436441430864,2022-10-29 12:49:15.557962,2022-10-29 12:49:16.363599,0 days 00:00:00.805637,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0036622436441430864,COMPLETE
9,0.0037293750501210957,2022-10-29 12:49:16.486354,2022-10-29 12:49:17.378161,0 days 00:00:00.891807,0.078900888474408,0.051289727440792465,0.015844905541799393,0.0037293750501210957,COMPLETE
10,0.0035759097172609463,2022-10-29 12:49:17.506649,2022-10-29 12:49:18.321819,0 days 00:00:00.815170,0.0013345174086330498,0.025767448367600445,0.04344125564368941,0.0035759097172609463,COMPLETE
11,0.0035741975998172726,2022-10-29 12:49:18.446551,2022-10-29 12:49:19.214468,0 days 00:00:00.767917,0.001179334618947874,0.414267356984232,0.40741328965706064,0.0035741975998172726,COMPLETE
12,0.0035753664801271936,2022-10-29 12:49:19.343107,2022-10-29 12:49:20.126193,0 days 00:00:00.783086,0.0057387129291723215,0.021067462207831063,0.4924855473172298,0.0035753664801271936,COMPLETE
13,0.0035742534569980565,2022-10-29 12:49:20.251504,2022-10-29 12:49:20.984894,0 days 00:00:00.733390,0.0010169129075736278,8.895937311944111,2.0275769331497666,0.0035742534569980565,COMPLETE
14,0.0035749686461135697,2022-10-29 12:49:21.093543,2022-10-29 12:49:21.832530,0 days 00:00:00.738987,0.0011530378308070104,3.5492354921501374,3.604970446839165,0.0035749686461135697,COMPLETE
15,0.0035753216226508296,2022-10-29 12:49:21.972252,2022-10-29 12:49:22.743338,0 days 00:00:00.771086,0.007279642395348964,8.905893670916539,2.777464972615584,0.0035753216226508296,COMPLETE
16,0.003574035075400898,2022-10-29 12:49:22.863381,2022-10-29 12:49:23.608603,0 days 00:00:00.745222,0.0010560660566315651,0.07032680064546482,4.363847430415745,0.003574035075400898,COMPLETE
17,0.003575522104166007,2022-10-29 12:49:23.726301,2022-10-29 12:49:24.471744,0 days 00:00:00.745443,0.0016973415435264025,0.17381766531016,2.24398533902056,0.003575522104166007,COMPLETE
18,0.0035749253847389287,2022-10-29 12:49:24.594839,2022-10-29 12:49:25.350657,0 days 00:00:00.755818,0.005173941923097949,0.09156866178037046,9.490614281490016,0.0035749253847389287,COMPLETE
19,0.0035751145394762106,2022-10-29 12:49:25.476395,2022-10-29 12:49:26.247824,0 days 00:00:00.771429,0.00238898913312808,0.010092652356898988,3.7880803351028582,0.0035751145394762106,COMPLETE
