number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.003703291256311683,2022-10-29 12:48:37.994238,2022-10-29 12:48:39.035415,0 days 00:00:01.041177,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.003703291256311683,COMPLETE
1,0.003618316254017427,2022-10-29 12:48:39.178426,2022-10-29 12:48:40.025769,0 days 00:00:00.847343,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.003618316254017427,COMPLETE
2,0.003908670938719642,2022-10-29 12:48:40.151891,2022-10-29 12:48:41.005903,0 days 00:00:00.854012,0.45429714644795216,0.5932954739071198,3.658201619571844,0.003908670938719642,COMPLETE
3,0.0036058560246713983,2022-10-29 12:48:41.138190,2022-10-29 12:48:41.976240,0 days 00:00:00.838050,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0036058560246713983,COMPLETE
4,0.0036796593750160517,2022-10-29 12:48:42.097369,2022-10-29 12:48:42.991929,0 days 00:00:00.894560,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0036796593750160517,COMPLETE
5,0.0038682457042826337,2022-10-29 12:48:43.123772,2022-10-29 12:48:43.939147,0 days 00:00:00.815375,0.372294203306687,9.627612801528926,0.611550441408745,0.0038682457042826337,COMPLETE
6,0.0036482626641903848,2022-10-29 12:48:44.071055,2022-10-29 12:48:44.793249,0 days 00:00:00.722194,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0036482626641903848,COMPLETE
7,0.0036057924202931367,2022-10-29 12:48:44.914754,2022-10-29 12:48:45.664488,0 days 00:00:00.749734,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.0036057924202931367,COMPLETE
8,0.003635684214502934,2022-10-29 12:48:45.799307,2022-10-29 12:48:46.528978,0 days 00:00:00.729671,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.003635684214502934,COMPLETE
9,0.0036947739334848863,2022-10-29 12:48:46.654593,2022-10-29 12:48:47.474848,0 days 00:00:00.820255,0.078900888474408,0.051289727440792465,0.015844905541799393,0.0036947739334848863,COMPLETE
10,0.0036052808815942106,2022-10-29 12:48:47.597422,2022-10-29 12:48:48.323586,0 days 00:00:00.726164,0.0020126181895076404,0.2941583308217288,0.6220674403166451,0.0036052808815942106,COMPLETE
11,0.0036055205818194777,2022-10-29 12:48:48.446585,2022-10-29 12:48:49.196589,0 days 00:00:00.750004,0.001179334618947874,0.414267356984232,0.40741328965706064,0.0036055205818194777,COMPLETE
12,0.0036060815434106252,2022-10-29 12:48:49.318109,2022-10-29 12:48:50.058189,0 days 00:00:00.740080,0.0033716993883839193,1.6976249045868674,2.9025032835755646,0.0036060815434106252,COMPLETE
13,0.0036054082072011153,2022-10-29 12:48:50.187052,2022-10-29 12:48:50.940341,0 days 00:00:00.753289,0.0028499783731821982,0.015722761414278138,9.814712607157325,0.0036054082072011153,COMPLETE
14,0.0036068077518294378,2022-10-29 12:48:51.073453,2022-10-29 12:48:51.834330,0 days 00:00:00.760877,0.0038303836437042016,0.015210539395818465,8.548070177251866,0.0036068077518294378,COMPLETE
15,0.0036072019036907793,2022-10-29 12:48:51.943357,2022-10-29 12:48:52.706616,0 days 00:00:00.763259,0.0020999525616232253,0.11651126099429983,2.3788739246822934,0.0036072019036907793,COMPLETE
16,0.00361236612558243,2022-10-29 12:48:52.827736,2022-10-29 12:48:53.554990,0 days 00:00:00.727254,0.01434881602095676,0.11975323321273382,6.408872284412948,0.00361236612558243,COMPLETE
17,0.0038080876786570853,2022-10-29 12:48:53.695107,2022-10-29 12:48:54.527497,0 days 00:00:00.832390,0.2296036525431815,0.018052191688791415,5.064928880912945,0.0038080876786570853,COMPLETE
18,0.0036078178546464857,2022-10-29 12:48:54.655510,2022-10-29 12:48:55.432339,0 days 00:00:00.776829,0.006215645046495343,0.06056497606777229,1.0431108229349755,0.0036078178546464857,COMPLETE
19,0.003605245939714341,2022-10-29 12:48:55.539918,2022-10-29 12:48:56.290166,0 days 00:00:00.750248,0.0015412837411840866,0.554591533394236,0.014011373262405253,0.003605245939714341,COMPLETE
