number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.0035949805222022513,2022-10-29 12:50:37.783686,2022-10-29 12:50:38.658860,0 days 00:00:00.875174,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.0035949805222022513,COMPLETE
1,0.0035786667621641784,2022-10-29 12:50:38.786761,2022-10-29 12:50:39.615316,0 days 00:00:00.828555,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0035786667621641784,COMPLETE
2,0.0037004242178382755,2022-10-29 12:50:39.749507,2022-10-29 12:50:40.629643,0 days 00:00:00.880136,0.45429714644795216,0.5932954739071198,3.658201619571844,0.0037004242178382755,COMPLETE
3,0.0035770133150789113,2022-10-29 12:50:40.752193,2022-10-29 12:50:41.547805,0 days 00:00:00.795612,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0035770133150789113,COMPLETE
4,0.0035869708707204732,2022-10-29 12:50:41.679838,2022-10-29 12:50:42.506806,0 days 00:00:00.826968,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0035869708707204732,COMPLETE
5,0.003693072779417853,2022-10-29 12:50:42.628145,2022-10-29 12:50:43.444359,0 days 00:00:00.816214,0.372294203306687,9.627612801528926,0.611550441408745,0.003693072779417853,COMPLETE
6,0.0035817296214417835,2022-10-29 12:50:43.578558,2022-10-29 12:50:44.416506,0 days 00:00:00.837948,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0035817296214417835,COMPLETE
7,0.0035779466079120486,2022-10-29 12:50:44.546379,2022-10-29 12:50:45.368490,0 days 00:00:00.822111,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.0035779466079120486,COMPLETE
8,0.003581649405621327,2022-10-29 12:50:45.489898,2022-10-29 12:50:46.296644,0 days 00:00:00.806746,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.003581649405621327,COMPLETE
9,0.003597555305375822,2022-10-29 12:50:46.421224,2022-10-29 12:50:47.259361,0 days 00:00:00.838137,0.078900888474408,0.051289727440792465,0.015844905541799393,0.003597555305375822,COMPLETE
10,0.0035789911193122768,2022-10-29 12:50:47.377209,2022-10-29 12:50:48.214814,0 days 00:00:00.837605,0.0013345174086330498,0.025767448367600445,0.04344125564368941,0.0035789911193122768,COMPLETE
11,0.003581126576301348,2022-10-29 12:50:48.347409,2022-10-29 12:50:49.158583,0 days 00:00:00.811174,0.001179334618947874,0.414267356984232,0.40741328965706064,0.003581126576301348,COMPLETE
12,0.0035782023828596528,2022-10-29 12:50:49.295965,2022-10-29 12:50:50.242665,0 days 00:00:00.946700,0.0057387129291723215,0.021067462207831063,0.4924855473172298,0.0035782023828596528,COMPLETE
13,0.0035761473903685587,2022-10-29 12:50:50.353224,2022-10-29 12:50:51.144387,0 days 00:00:00.791163,0.0010169129075736278,8.895937311944111,2.0275769331497666,0.0035761473903685587,COMPLETE
14,0.003578424811358902,2022-10-29 12:50:51.281302,2022-10-29 12:50:52.094350,0 days 00:00:00.813048,0.0011530378308070104,3.5492354921501374,3.604970446839165,0.003578424811358902,COMPLETE
15,0.003579866232530974,2022-10-29 12:50:52.222108,2022-10-29 12:50:53.095422,0 days 00:00:00.873314,0.007279642395348964,8.905893670916539,2.777464972615584,0.003579866232530974,COMPLETE
16,0.003578250099010007,2022-10-29 12:50:53.220200,2022-10-29 12:50:54.032110,0 days 00:00:00.811910,0.0010560660566315651,0.07032680064546482,4.363847430415745,0.003578250099010007,COMPLETE
17,0.0035770988219667463,2022-10-29 12:50:54.154762,2022-10-29 12:50:55.006803,0 days 00:00:00.852041,0.008138447703418669,0.016405489614399034,0.0720186025238865,0.0035770988219667463,COMPLETE
18,0.0035786011010417763,2022-10-29 12:50:55.122701,2022-10-29 12:50:55.943316,0 days 00:00:00.820615,0.003620007440528564,4.305515270441406,0.3618928447607613,0.0035786011010417763,COMPLETE
19,0.0035758065107324897,2022-10-29 12:50:56.071011,2022-10-29 12:50:56.893891,0 days 00:00:00.822880,0.0015412837411840866,0.554591533394236,0.014011373262405253,0.0035758065107324897,COMPLETE
