number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,user_attrs_val_mape,state
0,0.003728411241769179,2022-10-29 12:51:39.753096,2022-10-29 12:51:40.677983,0 days 00:00:00.924887,0.06757432074659307,0.7432195672632871,0.3458409430528475,0.003728411241769179,COMPLETE
1,0.0037233441685267815,2022-10-29 12:51:40.812308,2022-10-29 12:51:41.665538,0 days 00:00:00.853230,0.019399619012701493,7.1218791219440964,0.24031420469002998,0.0037233441685267815,COMPLETE
2,0.003786621763231009,2022-10-29 12:51:41.793923,2022-10-29 12:51:42.631954,0 days 00:00:00.838031,0.45429714644795216,0.5932954739071198,3.658201619571844,0.003786621763231009,COMPLETE
3,0.0037245535036156104,2022-10-29 12:51:42.763124,2022-10-29 12:51:43.646724,0 days 00:00:00.883600,0.0035352563839442398,0.015821430175348976,0.06124638571417057,0.0037245535036156104,COMPLETE
4,0.0037261586239600132,2022-10-29 12:51:43.774401,2022-10-29 12:51:44.646410,0 days 00:00:00.872009,0.055726039341599774,0.11301803854169988,1.4328437617793053,0.0037261586239600132,COMPLETE
5,0.003806509254603092,2022-10-29 12:51:44.771780,2022-10-29 12:51:45.596758,0 days 00:00:00.824978,0.372294203306687,9.627612801528926,0.611550441408745,0.003806509254603092,COMPLETE
6,0.0037245219180625155,2022-10-29 12:51:45.712894,2022-10-29 12:51:46.543773,0 days 00:00:00.830879,0.02933314235525021,0.026427741635651047,0.016411107318903287,0.0037245219180625155,COMPLETE
7,0.003724971468286253,2022-10-29 12:51:46.682295,2022-10-29 12:51:47.548026,0 days 00:00:00.865731,0.0036260849668196347,0.4038115998302877,0.3285354397749122,0.003724971468286253,COMPLETE
8,0.0037244511724149865,2022-10-29 12:51:47.680511,2022-10-29 12:51:48.621302,0 days 00:00:00.940791,0.027188254743593897,0.6553965378213311,0.04997278406564374,0.0037244511724149865,COMPLETE
9,0.003726686081299914,2022-10-29 12:51:48.741569,2022-10-29 12:51:49.610852,0 days 00:00:00.869283,0.078900888474408,0.051289727440792465,0.015844905541799393,0.003726686081299914,COMPLETE
10,0.00372479727316726,2022-10-29 12:51:49.741306,2022-10-29 12:51:50.646945,0 days 00:00:00.905639,0.004266003806252271,5.258293106364389,1.6339911177163329,0.00372479727316726,COMPLETE
11,0.0037237022309638537,2022-10-29 12:51:50.770857,2022-10-29 12:51:51.683169,0 days 00:00:00.912312,0.009839250600861483,8.45311626716436,0.12407011996937212,0.0037237022309638537,COMPLETE
12,0.003723346288363058,2022-10-29 12:51:51.810403,2022-10-29 12:51:52.744558,0 days 00:00:00.934155,0.016856009802647152,8.74090609196584,0.06019523103483475,0.003723346288363058,COMPLETE
13,0.003737302488359746,2022-10-29 12:51:52.877205,2022-10-29 12:51:53.749797,0 days 00:00:00.872592,0.21879115432092885,6.933396058741033,0.0203824774659627,0.003737302488359746,COMPLETE
14,0.003724303178411888,2022-10-29 12:51:53.874327,2022-10-29 12:51:54.780612,0 days 00:00:00.906285,0.0012791421278934769,7.217014342462237,0.019398169366973098,0.003724303178411888,COMPLETE
15,0.003727171935630071,2022-10-29 12:51:54.915342,2022-10-29 12:51:55.792710,0 days 00:00:00.877368,0.05965673560219117,8.897562417354878,0.18283280389406678,0.003727171935630071,COMPLETE
16,0.0037235055319471515,2022-10-29 12:51:55.934666,2022-10-29 12:51:56.915813,0 days 00:00:00.981147,0.014619648063215387,8.408039741031441,0.013676769056295343,0.0037235055319471515,COMPLETE
17,0.00372493889967855,2022-10-29 12:51:57.042260,2022-10-29 12:51:57.985145,0 days 00:00:00.942885,0.02785419788363682,4.450835201067308,6.3685537535834005,0.00372493889967855,COMPLETE
18,0.003725077958514934,2022-10-29 12:51:58.102857,2022-10-29 12:51:59.013381,0 days 00:00:00.910524,0.005667609017776144,0.06211005673782495,4.350049821340791,0.003725077958514934,COMPLETE
19,0.003802280642353182,2022-10-29 12:51:59.149843,2022-10-29 12:52:00.049934,0 days 00:00:00.900091,0.4660348313906327,0.015350637529244416,0.7257325455134667,0.003802280642353182,COMPLETE
