number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-3504.5532148355655,2022-10-29 12:54:09.490761,2022-10-29 12:54:09.579791,0 days 00:00:00.089030,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
1,293.28612667307664,2022-10-29 12:54:09.695048,2022-10-29 12:54:09.715740,0 days 00:00:00.020692,None,293.28612667307664,0.00988582780708118,COMPLETE
2,-3504.5532148355655,2022-10-29 12:54:09.837549,2022-10-29 12:54:09.932470,0 days 00:00:00.094921,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
3,-3504.2239488110345,2022-10-29 12:54:10.037419,2022-10-29 12:54:10.468251,0 days 00:00:00.430832,mul,-3504.2239488110345,0.001093609708926092,COMPLETE
4,-3504.2239488110345,2022-10-29 12:54:10.579948,2022-10-29 12:54:10.995816,0 days 00:00:00.415868,mul,-3504.2239488110345,0.001093609708926092,COMPLETE
5,293.28612667307664,2022-10-29 12:54:11.112575,2022-10-29 12:54:11.128204,0 days 00:00:00.015629,None,293.28612667307664,0.00988582780708118,COMPLETE
6,-3504.5532148355655,2022-10-29 12:54:11.245931,2022-10-29 12:54:11.348858,0 days 00:00:00.102927,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
7,293.28612667307664,2022-10-29 12:54:11.458034,2022-10-29 12:54:11.473662,0 days 00:00:00.015628,None,293.28612667307664,0.00988582780708118,COMPLETE
8,293.28612667307664,2022-10-29 12:54:11.596153,2022-10-29 12:54:11.617173,0 days 00:00:00.021020,None,293.28612667307664,0.00988582780708118,COMPLETE
9,-3504.5532148355655,2022-10-29 12:54:11.725102,2022-10-29 12:54:11.827336,0 days 00:00:00.102234,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
10,-3504.5532148355655,2022-10-29 12:54:11.942862,2022-10-29 12:54:12.031009,0 days 00:00:00.088147,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
11,-3504.5532148355655,2022-10-29 12:54:12.144948,2022-10-29 12:54:12.233072,0 days 00:00:00.088124,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
12,-3504.5532148355655,2022-10-29 12:54:12.366672,2022-10-29 12:54:12.445468,0 days 00:00:00.078796,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
13,-3504.5532148355655,2022-10-29 12:54:12.574074,2022-10-29 12:54:12.656092,0 days 00:00:00.082018,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
14,-3504.5532148355655,2022-10-29 12:54:12.785377,2022-10-29 12:54:12.875353,0 days 00:00:00.089976,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
15,-3504.5532148355655,2022-10-29 12:54:13.005759,2022-10-29 12:54:13.091534,0 days 00:00:00.085775,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
16,-3504.2239488110345,2022-10-29 12:54:13.213290,2022-10-29 12:54:13.638633,0 days 00:00:00.425343,mul,-3504.2239488110345,0.001093609708926092,COMPLETE
17,-3504.5532148355655,2022-10-29 12:54:13.761935,2022-10-29 12:54:13.850114,0 days 00:00:00.088179,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
18,-3504.5532148355655,2022-10-29 12:54:13.965471,2022-10-29 12:54:14.060830,0 days 00:00:00.095359,add,-3504.5532148355655,0.0010935602531807465,COMPLETE
19,-3504.2239488110345,2022-10-29 12:54:14.181289,2022-10-29 12:54:14.610190,0 days 00:00:00.428901,mul,-3504.2239488110345,0.001093609708926092,COMPLETE
