number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-2548.540175125041,2022-10-29 12:53:08.607817,2022-10-29 12:53:08.678219,0 days 00:00:00.070402,add,-2548.540175125041,0.001118810160257791,COMPLETE
1,214.00106741268587,2022-10-29 12:53:08.796135,2022-10-29 12:53:08.811765,0 days 00:00:00.015630,None,214.00106741268587,0.00987141902871184,COMPLETE
2,-2548.540175125041,2022-10-29 12:53:08.935431,2022-10-29 12:53:09.015855,0 days 00:00:00.080424,add,-2548.540175125041,0.001118810160257791,COMPLETE
3,-2548.5215318196665,2022-10-29 12:53:09.130931,2022-10-29 12:53:09.538562,0 days 00:00:00.407631,mul,-2548.5215318196665,0.0011188083619681221,COMPLETE
4,-2548.5215318196665,2022-10-29 12:53:09.657030,2022-10-29 12:53:10.068490,0 days 00:00:00.411460,mul,-2548.5215318196665,0.0011188083619681221,COMPLETE
5,214.00106741268587,2022-10-29 12:53:10.201092,2022-10-29 12:53:10.219156,0 days 00:00:00.018064,None,214.00106741268587,0.00987141902871184,COMPLETE
6,-2548.540175125041,2022-10-29 12:53:10.340169,2022-10-29 12:53:10.405373,0 days 00:00:00.065204,add,-2548.540175125041,0.001118810160257791,COMPLETE
7,214.00106741268587,2022-10-29 12:53:10.544367,2022-10-29 12:53:10.562441,0 days 00:00:00.018074,None,214.00106741268587,0.00987141902871184,COMPLETE
8,214.00106741268587,2022-10-29 12:53:10.677286,2022-10-29 12:53:10.692910,0 days 00:00:00.015624,None,214.00106741268587,0.00987141902871184,COMPLETE
9,-2548.540175125041,2022-10-29 12:53:10.801861,2022-10-29 12:53:10.894585,0 days 00:00:00.092724,add,-2548.540175125041,0.001118810160257791,COMPLETE
10,-2548.540175125041,2022-10-29 12:53:11.002471,2022-10-29 12:53:11.086603,0 days 00:00:00.084132,add,-2548.540175125041,0.001118810160257791,COMPLETE
11,-2548.540175125041,2022-10-29 12:53:11.217096,2022-10-29 12:53:11.283310,0 days 00:00:00.066214,add,-2548.540175125041,0.001118810160257791,COMPLETE
12,-2548.540175125041,2022-10-29 12:53:11.406132,2022-10-29 12:53:11.494651,0 days 00:00:00.088519,add,-2548.540175125041,0.001118810160257791,COMPLETE
13,-2548.540175125041,2022-10-29 12:53:11.618176,2022-10-29 12:53:11.699218,0 days 00:00:00.081042,add,-2548.540175125041,0.001118810160257791,COMPLETE
14,-2548.540175125041,2022-10-29 12:53:11.821791,2022-10-29 12:53:11.902903,0 days 00:00:00.081112,add,-2548.540175125041,0.001118810160257791,COMPLETE
15,-2548.540175125041,2022-10-29 12:53:12.016055,2022-10-29 12:53:12.106034,0 days 00:00:00.089979,add,-2548.540175125041,0.001118810160257791,COMPLETE
16,-2548.5215318196665,2022-10-29 12:53:12.222464,2022-10-29 12:53:12.613463,0 days 00:00:00.390999,mul,-2548.5215318196665,0.0011188083619681221,COMPLETE
17,-2548.540175125041,2022-10-29 12:53:12.733382,2022-10-29 12:53:12.830024,0 days 00:00:00.096642,add,-2548.540175125041,0.001118810160257791,COMPLETE
18,-2548.540175125041,2022-10-29 12:53:12.944883,2022-10-29 12:53:13.023657,0 days 00:00:00.078774,add,-2548.540175125041,0.001118810160257791,COMPLETE
19,-2548.5215318196665,2022-10-29 12:53:13.142035,2022-10-29 12:53:13.563628,0 days 00:00:00.421593,mul,-2548.5215318196665,0.0011188083619681221,COMPLETE
