number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-1801.2023207687303,2022-10-29 12:52:22.583116,2022-10-29 12:52:22.667064,0 days 00:00:00.083948,add,-1801.2023207687303,0.001081146222219476,COMPLETE
1,78.48596615580423,2022-10-29 12:52:22.782935,2022-10-29 12:52:22.798575,0 days 00:00:00.015640,None,78.48596615580423,0.009981233810682607,COMPLETE
2,-1801.2023207687303,2022-10-29 12:52:22.915757,2022-10-29 12:52:23.003919,0 days 00:00:00.088162,add,-1801.2023207687303,0.001081146222219476,COMPLETE
3,-1801.1983294651623,2022-10-29 12:52:23.120716,2022-10-29 12:52:23.565355,0 days 00:00:00.444639,mul,-1801.1983294651623,0.0010811547134268727,COMPLETE
4,-1801.1983294651623,2022-10-29 12:52:23.724974,2022-10-29 12:52:24.212292,0 days 00:00:00.487318,mul,-1801.1983294651623,0.0010811547134268727,COMPLETE
5,78.48596615580423,2022-10-29 12:52:24.343904,2022-10-29 12:52:24.343904,0 days 00:00:00,None,78.48596615580423,0.009981233810682607,COMPLETE
6,-1801.2023207687303,2022-10-29 12:52:24.477367,2022-10-29 12:52:24.580581,0 days 00:00:00.103214,add,-1801.2023207687303,0.001081146222219476,COMPLETE
7,78.48596615580423,2022-10-29 12:52:24.698769,2022-10-29 12:52:24.714394,0 days 00:00:00.015625,None,78.48596615580423,0.009981233810682607,COMPLETE
8,78.48596615580423,2022-10-29 12:52:24.839364,2022-10-29 12:52:24.854985,0 days 00:00:00.015621,None,78.48596615580423,0.009981233810682607,COMPLETE
9,-1801.2023207687303,2022-10-29 12:52:24.993292,2022-10-29 12:52:25.083492,0 days 00:00:00.090200,add,-1801.2023207687303,0.001081146222219476,COMPLETE
10,-1801.2023207687303,2022-10-29 12:52:25.213629,2022-10-29 12:52:25.312087,0 days 00:00:00.098458,add,-1801.2023207687303,0.001081146222219476,COMPLETE
11,-1801.2023207687303,2022-10-29 12:52:25.445992,2022-10-29 12:52:25.541163,0 days 00:00:00.095171,add,-1801.2023207687303,0.001081146222219476,COMPLETE
12,-1801.2023207687303,2022-10-29 12:52:25.663568,2022-10-29 12:52:25.749127,0 days 00:00:00.085559,add,-1801.2023207687303,0.001081146222219476,COMPLETE
13,-1801.2023207687303,2022-10-29 12:52:25.884279,2022-10-29 12:52:25.972440,0 days 00:00:00.088161,add,-1801.2023207687303,0.001081146222219476,COMPLETE
14,-1801.2023207687303,2022-10-29 12:52:26.113612,2022-10-29 12:52:26.194198,0 days 00:00:00.080586,add,-1801.2023207687303,0.001081146222219476,COMPLETE
15,-1801.2023207687303,2022-10-29 12:52:26.331393,2022-10-29 12:52:26.433064,0 days 00:00:00.101671,add,-1801.2023207687303,0.001081146222219476,COMPLETE
16,-1801.1983294651623,2022-10-29 12:52:26.555511,2022-10-29 12:52:26.992419,0 days 00:00:00.436908,mul,-1801.1983294651623,0.0010811547134268727,COMPLETE
17,-1801.2023207687303,2022-10-29 12:52:27.146187,2022-10-29 12:52:27.249336,0 days 00:00:00.103149,add,-1801.2023207687303,0.001081146222219476,COMPLETE
18,-1801.2023207687303,2022-10-29 12:52:27.370394,2022-10-29 12:52:27.462970,0 days 00:00:00.092576,add,-1801.2023207687303,0.001081146222219476,COMPLETE
19,-1801.1983294651623,2022-10-29 12:52:27.603876,2022-10-29 12:52:27.998389,0 days 00:00:00.394513,mul,-1801.1983294651623,0.0010811547134268727,COMPLETE
