number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-3245.184288916373,2022-10-29 12:53:54.376618,2022-10-29 12:53:54.461179,0 days 00:00:00.084561,add,-3245.184288916373,0.0011213252714738996,COMPLETE
1,293.43919397282133,2022-10-29 12:53:54.581087,2022-10-29 12:53:54.600729,0 days 00:00:00.019642,None,293.43919397282133,0.009896177733979047,COMPLETE
2,-3245.184288916373,2022-10-29 12:53:54.713696,2022-10-29 12:53:54.802432,0 days 00:00:00.088736,add,-3245.184288916373,0.0011213252714738996,COMPLETE
3,-3244.548715037104,2022-10-29 12:53:54.927954,2022-10-29 12:53:55.271399,0 days 00:00:00.343445,mul,-3244.548715037104,0.001120780613586872,COMPLETE
4,-3244.548715037104,2022-10-29 12:53:55.405177,2022-10-29 12:53:55.737546,0 days 00:00:00.332369,mul,-3244.548715037104,0.001120780613586872,COMPLETE
5,293.43919397282133,2022-10-29 12:53:55.866188,2022-10-29 12:53:55.886235,0 days 00:00:00.020047,None,293.43919397282133,0.009896177733979047,COMPLETE
6,-3245.184288916373,2022-10-29 12:53:56.011088,2022-10-29 12:53:56.093732,0 days 00:00:00.082644,add,-3245.184288916373,0.0011213252714738996,COMPLETE
7,293.43919397282133,2022-10-29 12:53:56.223606,2022-10-29 12:53:56.223606,0 days 00:00:00,None,293.43919397282133,0.009896177733979047,COMPLETE
8,293.43919397282133,2022-10-29 12:53:56.343783,2022-10-29 12:53:56.359410,0 days 00:00:00.015627,None,293.43919397282133,0.009896177733979047,COMPLETE
9,-3245.184288916373,2022-10-29 12:53:56.476992,2022-10-29 12:53:56.572834,0 days 00:00:00.095842,add,-3245.184288916373,0.0011213252714738996,COMPLETE
10,-3245.184288916373,2022-10-29 12:53:56.703550,2022-10-29 12:53:56.805752,0 days 00:00:00.102202,add,-3245.184288916373,0.0011213252714738996,COMPLETE
11,-3245.184288916373,2022-10-29 12:53:56.919248,2022-10-29 12:53:57.010778,0 days 00:00:00.091530,add,-3245.184288916373,0.0011213252714738996,COMPLETE
12,-3245.184288916373,2022-10-29 12:53:57.130898,2022-10-29 12:53:57.211416,0 days 00:00:00.080518,add,-3245.184288916373,0.0011213252714738996,COMPLETE
13,-3245.184288916373,2022-10-29 12:53:57.340395,2022-10-29 12:53:57.414723,0 days 00:00:00.074328,add,-3245.184288916373,0.0011213252714738996,COMPLETE
14,-3245.184288916373,2022-10-29 12:53:57.536571,2022-10-29 12:53:57.625967,0 days 00:00:00.089396,add,-3245.184288916373,0.0011213252714738996,COMPLETE
15,-3245.184288916373,2022-10-29 12:53:57.754810,2022-10-29 12:53:57.845775,0 days 00:00:00.090965,add,-3245.184288916373,0.0011213252714738996,COMPLETE
16,-3244.548715037104,2022-10-29 12:53:57.961011,2022-10-29 12:53:58.304088,0 days 00:00:00.343077,mul,-3244.548715037104,0.001120780613586872,COMPLETE
17,-3245.184288916373,2022-10-29 12:53:58.421696,2022-10-29 12:53:58.516884,0 days 00:00:00.095188,add,-3245.184288916373,0.0011213252714738996,COMPLETE
18,-3245.184288916373,2022-10-29 12:53:58.629352,2022-10-29 12:53:58.728550,0 days 00:00:00.099198,add,-3245.184288916373,0.0011213252714738996,COMPLETE
19,-3244.548715037104,2022-10-29 12:53:58.835699,2022-10-29 12:53:59.201411,0 days 00:00:00.365712,mul,-3244.548715037104,0.001120780613586872,COMPLETE
