number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-2774.922020407637,2022-10-29 12:53:23.896338,2022-10-29 12:53:23.980949,0 days 00:00:00.084611,add,-2774.922020407637,0.0011143531459676477,COMPLETE
1,259.0835888231954,2022-10-29 12:53:24.098801,2022-10-29 12:53:24.114427,0 days 00:00:00.015626,None,259.0835888231954,0.00979324676597794,COMPLETE
2,-2774.922020407637,2022-10-29 12:53:24.239343,2022-10-29 12:53:24.320555,0 days 00:00:00.081212,add,-2774.922020407637,0.0011143531459676477,COMPLETE
3,-2774.6860530777494,2022-10-29 12:53:24.451418,2022-10-29 12:53:24.907832,0 days 00:00:00.456414,mul,-2774.6860530777494,0.0011149290958722363,COMPLETE
4,-2774.6860530777494,2022-10-29 12:53:25.032049,2022-10-29 12:53:25.497667,0 days 00:00:00.465618,mul,-2774.6860530777494,0.0011149290958722363,COMPLETE
5,259.0835888231954,2022-10-29 12:53:25.621379,2022-10-29 12:53:25.637004,0 days 00:00:00.015625,None,259.0835888231954,0.00979324676597794,COMPLETE
6,-2774.922020407637,2022-10-29 12:53:25.757863,2022-10-29 12:53:25.843004,0 days 00:00:00.085141,add,-2774.922020407637,0.0011143531459676477,COMPLETE
7,259.0835888231954,2022-10-29 12:53:25.973983,2022-10-29 12:53:25.973983,0 days 00:00:00,None,259.0835888231954,0.00979324676597794,COMPLETE
8,259.0835888231954,2022-10-29 12:53:26.100077,2022-10-29 12:53:26.119094,0 days 00:00:00.019017,None,259.0835888231954,0.00979324676597794,COMPLETE
9,-2774.922020407637,2022-10-29 12:53:26.227022,2022-10-29 12:53:26.313689,0 days 00:00:00.086667,add,-2774.922020407637,0.0011143531459676477,COMPLETE
10,-2774.922020407637,2022-10-29 12:53:26.428694,2022-10-29 12:53:26.525864,0 days 00:00:00.097170,add,-2774.922020407637,0.0011143531459676477,COMPLETE
11,-2774.922020407637,2022-10-29 12:53:26.640752,2022-10-29 12:53:26.730644,0 days 00:00:00.089892,add,-2774.922020407637,0.0011143531459676477,COMPLETE
12,-2774.922020407637,2022-10-29 12:53:26.840495,2022-10-29 12:53:26.940174,0 days 00:00:00.099679,add,-2774.922020407637,0.0011143531459676477,COMPLETE
13,-2774.922020407637,2022-10-29 12:53:27.047440,2022-10-29 12:53:27.135501,0 days 00:00:00.088061,add,-2774.922020407637,0.0011143531459676477,COMPLETE
14,-2774.922020407637,2022-10-29 12:53:27.258480,2022-10-29 12:53:27.338012,0 days 00:00:00.079532,add,-2774.922020407637,0.0011143531459676477,COMPLETE
15,-2774.922020407637,2022-10-29 12:53:27.469952,2022-10-29 12:53:27.544312,0 days 00:00:00.074360,add,-2774.922020407637,0.0011143531459676477,COMPLETE
16,-2774.6860530777494,2022-10-29 12:53:27.672287,2022-10-29 12:53:28.133454,0 days 00:00:00.461167,mul,-2774.6860530777494,0.0011149290958722363,COMPLETE
17,-2774.922020407637,2022-10-29 12:53:28.263974,2022-10-29 12:53:28.343410,0 days 00:00:00.079436,add,-2774.922020407637,0.0011143531459676477,COMPLETE
18,-2774.922020407637,2022-10-29 12:53:28.462192,2022-10-29 12:53:28.546960,0 days 00:00:00.084768,add,-2774.922020407637,0.0011143531459676477,COMPLETE
19,-2774.6860530777494,2022-10-29 12:53:28.670677,2022-10-29 12:53:29.152850,0 days 00:00:00.482173,mul,-2774.6860530777494,0.0011149290958722363,COMPLETE
