number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-2301.6127267926854,2022-10-29 12:52:53.700175,2022-10-29 12:52:53.783081,0 days 00:00:00.082906,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
1,151.40347715363342,2022-10-29 12:52:53.897040,2022-10-29 12:52:53.912682,0 days 00:00:00.015642,None,151.40347715363342,0.00997412162907679,COMPLETE
2,-2301.6127267926854,2022-10-29 12:52:54.030494,2022-10-29 12:52:54.104951,0 days 00:00:00.074457,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
3,-2301.5315516807677,2022-10-29 12:52:54.219421,2022-10-29 12:52:54.567883,0 days 00:00:00.348462,mul,-2301.5315516807677,0.0010967407076134684,COMPLETE
4,-2301.5315516807677,2022-10-29 12:52:54.684837,2022-10-29 12:52:55.016345,0 days 00:00:00.331508,mul,-2301.5315516807677,0.0010967407076134684,COMPLETE
5,151.40347715363342,2022-10-29 12:52:55.138469,2022-10-29 12:52:55.154101,0 days 00:00:00.015632,None,151.40347715363342,0.00997412162907679,COMPLETE
6,-2301.6127267926854,2022-10-29 12:52:55.274606,2022-10-29 12:52:55.339164,0 days 00:00:00.064558,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
7,151.40347715363342,2022-10-29 12:52:55.478656,2022-10-29 12:52:55.497701,0 days 00:00:00.019045,None,151.40347715363342,0.00997412162907679,COMPLETE
8,151.40347715363342,2022-10-29 12:52:55.619194,2022-10-29 12:52:55.619194,0 days 00:00:00,None,151.40347715363342,0.00997412162907679,COMPLETE
9,-2301.6127267926854,2022-10-29 12:52:55.745021,2022-10-29 12:52:55.817593,0 days 00:00:00.072572,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
10,-2301.6127267926854,2022-10-29 12:52:55.951033,2022-10-29 12:52:56.014276,0 days 00:00:00.063243,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
11,-2301.6127267926854,2022-10-29 12:52:56.144977,2022-10-29 12:52:56.209938,0 days 00:00:00.064961,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
12,-2301.6127267926854,2022-10-29 12:52:56.342070,2022-10-29 12:52:56.413562,0 days 00:00:00.071492,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
13,-2301.6127267926854,2022-10-29 12:52:56.537673,2022-10-29 12:52:56.611915,0 days 00:00:00.074242,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
14,-2301.6127267926854,2022-10-29 12:52:56.743422,2022-10-29 12:52:56.815056,0 days 00:00:00.071634,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
15,-2301.6127267926854,2022-10-29 12:52:56.930633,2022-10-29 12:52:57.011607,0 days 00:00:00.080974,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
16,-2301.5315516807677,2022-10-29 12:52:57.137179,2022-10-29 12:52:57.472735,0 days 00:00:00.335556,mul,-2301.5315516807677,0.0010967407076134684,COMPLETE
17,-2301.6127267926854,2022-10-29 12:52:57.592948,2022-10-29 12:52:57.663898,0 days 00:00:00.070950,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
18,-2301.6127267926854,2022-10-29 12:52:57.788885,2022-10-29 12:52:57.861473,0 days 00:00:00.072588,add,-2301.6127267926854,0.0010970981863307713,COMPLETE
19,-2301.5315516807677,2022-10-29 12:52:57.979782,2022-10-29 12:52:58.314062,0 days 00:00:00.334280,mul,-2301.5315516807677,0.0010967407076134684,COMPLETE
