number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-3018.3917368611337,2022-10-29 12:53:39.453868,2022-10-29 12:53:39.537902,0 days 00:00:00.084034,add,-3018.3917368611337,0.001101046998439988,COMPLETE
1,280.6315375088069,2022-10-29 12:53:39.655874,2022-10-29 12:53:39.676036,0 days 00:00:00.020162,None,280.6315375088069,0.009982408423603767,COMPLETE
2,-3018.3917368611337,2022-10-29 12:53:39.788384,2022-10-29 12:53:39.884500,0 days 00:00:00.096116,add,-3018.3917368611337,0.001101046998439988,COMPLETE
3,-3018.2029843196956,2022-10-29 12:53:39.996183,2022-10-29 12:53:40.314037,0 days 00:00:00.317854,mul,-3018.2029843196956,0.0011032466469778803,COMPLETE
4,-3018.2029843196956,2022-10-29 12:53:40.435532,2022-10-29 12:53:40.753152,0 days 00:00:00.317620,mul,-3018.2029843196956,0.0011032466469778803,COMPLETE
5,280.6315375088069,2022-10-29 12:53:40.861329,2022-10-29 12:53:40.876953,0 days 00:00:00.015624,None,280.6315375088069,0.009982408423603767,COMPLETE
6,-3018.3917368611337,2022-10-29 12:53:41.000318,2022-10-29 12:53:41.077594,0 days 00:00:00.077276,add,-3018.3917368611337,0.001101046998439988,COMPLETE
7,280.6315375088069,2022-10-29 12:53:41.200042,2022-10-29 12:53:41.215677,0 days 00:00:00.015635,None,280.6315375088069,0.009982408423603767,COMPLETE
8,280.6315375088069,2022-10-29 12:53:41.332935,2022-10-29 12:53:41.348561,0 days 00:00:00.015626,None,280.6315375088069,0.009982408423603767,COMPLETE
9,-3018.3917368611337,2022-10-29 12:53:41.460712,2022-10-29 12:53:41.547566,0 days 00:00:00.086854,add,-3018.3917368611337,0.001101046998439988,COMPLETE
10,-3018.3917368611337,2022-10-29 12:53:41.667627,2022-10-29 12:53:41.766761,0 days 00:00:00.099134,add,-3018.3917368611337,0.001101046998439988,COMPLETE
11,-3018.3917368611337,2022-10-29 12:53:41.882529,2022-10-29 12:53:41.966396,0 days 00:00:00.083867,add,-3018.3917368611337,0.001101046998439988,COMPLETE
12,-3018.3917368611337,2022-10-29 12:53:42.092737,2022-10-29 12:53:42.170787,0 days 00:00:00.078050,add,-3018.3917368611337,0.001101046998439988,COMPLETE
13,-3018.3917368611337,2022-10-29 12:53:42.289886,2022-10-29 12:53:42.369804,0 days 00:00:00.079918,add,-3018.3917368611337,0.001101046998439988,COMPLETE
14,-3018.3917368611337,2022-10-29 12:53:42.495748,2022-10-29 12:53:42.574512,0 days 00:00:00.078764,add,-3018.3917368611337,0.001101046998439988,COMPLETE
15,-3018.3917368611337,2022-10-29 12:53:42.697221,2022-10-29 12:53:42.786150,0 days 00:00:00.088929,add,-3018.3917368611337,0.001101046998439988,COMPLETE
16,-3018.2029843196956,2022-10-29 12:53:42.906244,2022-10-29 12:53:43.215339,0 days 00:00:00.309095,mul,-3018.2029843196956,0.0011032466469778803,COMPLETE
17,-3018.3917368611337,2022-10-29 12:53:43.342699,2022-10-29 12:53:43.414832,0 days 00:00:00.072133,add,-3018.3917368611337,0.001101046998439988,COMPLETE
18,-3018.3917368611337,2022-10-29 12:53:43.530803,2022-10-29 12:53:43.628036,0 days 00:00:00.097233,add,-3018.3917368611337,0.001101046998439988,COMPLETE
19,-3018.2029843196956,2022-10-29 12:53:43.773464,2022-10-29 12:53:44.083906,0 days 00:00:00.310442,mul,-3018.2029843196956,0.0011032466469778803,COMPLETE
