Models,mape_val_cv_avg,mape_val_cv_std,mape_test_cv_avg,mape_test_cv_std
Prophet,0.0036073830532083605,5.377918073379915e-05,0.0037322689421794256,4.439083986865008e-05
ExponentialSmoothing,0.0011033997692070398,1.2887042320488128e-05,0.0010655884222697354,2.3090112626514212e-05
SARIMAX,0.009160063627115769,0.0009347617358639921,0.009185314819761039,0.0008732393566857586
